Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
461.12623163480566,461.52103391481785,458.9054349230686,459.03375244140625,3450800,0.0,0.0,0.0
459.6654530938452,460.0701352406138,457.88882768404187,459.8825988769531,3586900,0.0,0.0,0.0
458.4612798572357,459.78388410918814,458.08620713534924,459.17193603515625,2800600,0.0,0.0,0.0
460.90908765327146,462.4093483717397,458.4415357417546,460.8695983886719,7332900,0.0,0.0,0.0
461.7579372829913,465.6468017261701,461.36313497901824,465.31121826171875,4833700,0.0,0.0,0.0
464.50184883729804,466.46604073139116,464.4919991118097,464.75848388671875,3970200,0.0,0.0,0.0
462.8633770065565,463.28778868545487,458.03683124502646,460.0997009277344,4616500,0.0,0.0,0.0
463.15951714147286,464.5512201043078,461.2545741989019,462.5376892089844,5325100,0.0,0.0,0.0
465.5086134736461,468.03538425086373,464.66963978962445,467.1174621582031,7149800,0.0,0.0,0.0
467.62083400897495,470.1179954304477,463.7221199182246,464.28472900390625,6281900,0.0,0.0,0.0
463.11020614039154,464.3538319590502,461.32370076812805,463.8998107910156,5323900,0.0,0.0,0.0
465.7948816413785,469.3777419391109,463.4753766750751,468.864501953125,4811000,0.0,0.0,0.0
469.1408599237104,469.29878686826976,466.7621361512909,468.1538391113281,3544500,0.0,0.0,0.0
468.9928030909295,469.1605797575204,464.34394359512436,467.1273193359375,5153000,0.0,0.0,0.0
464.30447027476924,465.65668398666486,462.6364026694642,463.90966796875,6802400,0.0,0.0,0.0
467.7985137062023,469.1112380985023,466.36732151750215,466.8114929199219,3939100,0.0,0.0,0.0
466.0712288458893,469.5652607532163,465.1730363128751,469.4270935058594,4550200,0.0,0.0,0.0
469.367905035945,473.78973918120073,468.76580665222895,473.52325439453125,6179400,0.0,0.0,0.0
476.35595302769485,476.9679010777309,474.96425014544366,475.1024475097656,5044700,0.0,0.0,0.0
475.16483481753613,475.6104346220575,474.12514223145433,474.4815979003906,5876800,1.543,0.0,0.0
473.0458211939229,474.0954253720931,472.8675631456985,473.2537536621094,6081300,0.0,0.0,0.0
474.36278147076206,474.6697394820614,471.75856396595975,471.9269104003906,8073500,0.0,0.0,0.0
474.8083684296534,476.1550189952573,472.768569343409,476.0461120605469,4951400,0.0,0.0,0.0
476.15504107284517,477.4324010202919,475.7886737760496,475.9867248535156,4065000,0.0,0.0,0.0
476.71944673272617,477.23433721471287,474.1350222669761,475.3628845214844,5734000,0.0,0.0,0.0
471.6595086267622,472.3130408664654,470.0553977740131,472.2536315917969,4817800,0.0,0.0,0.0
471.1743579250237,474.10532649438215,471.12486026522754,472.679443359375,6224800,0.0,0.0,0.0
476.4817814854486,476.7590348391242,466.64912350262205,466.8570861816406,6871200,0.0,0.0,0.0
468.2136688902969,473.63991765333253,467.7878923317164,471.8179626464844,5582200,0.0,0.0,0.0
472.4714963331133,473.38248894845117,471.3030735890706,472.006103515625,4736800,0.0,0.0,0.0
473.68943354869936,473.907277631962,468.1047198968836,472.5903015136719,5254200,0.0,0.0,0.0
467.2828904257756,469.7385847170304,466.0550583893237,468.015625,6933400,0.0,0.0,0.0
469.3325893017821,472.74874357374244,466.05504660219725,471.3921813964844,5109900,0.0,0.0,0.0
468.13442581969593,469.40187406624426,463.3220931739787,464.9658203125,6954300,0.0,0.0,0.0
468.8275768533085,468.9463954054453,458.3117119323035,459.0642395019531,9530000,0.0,0.0,0.0
459.499907183979,460.9456134194491,457.0640363187349,458.24237060546875,6761400,0.0,0.0,0.0
460.549529313815,460.6782594840403,454.2321113191832,455.479736328125,7156200,0.0,0.0,0.0
456.83631828427895,458.7572988654604,453.7172102992392,454.4400634765625,5637300,0.0,0.0,0.0
454.48956845529403,455.43026574104624,449.44947980790187,450.6377258300781,9766100,0.0,0.0,0.0
453.0636578667557,457.20269545494637,450.8852472492157,454.5489501953125,5818100,0.0,0.0,0.0
456.65807906617636,460.5693610285293,456.1531002130707,460.2821960449219,4257400,0.0,0.0,0.0
461.0050419071014,461.7377764553802,457.9057270683653,459.9455261230469,7687800,0.0,0.0,0.0
454.27173216810155,458.915748960723,452.77655832287496,458.04437255859375,4876200,0.0,0.0,0.0
460.76739597175634,464.03505738943215,460.25250548397923,462.62896728515625,4907100,0.0,0.0,0.0
464.2430114746094,464.8173414861252,461.6387938384718,464.2430114746094,3253200,0.0,0.0,0.0
462.83692783217197,463.747890246195,456.83631875087997,456.9056396484375,4364800,0.0,0.0,0.0
456.25207866682945,462.490324469207,454.93513278783655,455.4203186035156,6115400,0.0,0.0,0.0
458.81669060520665,460.391127075473,454.6578901902436,459.66827392578125,3972400,0.0,0.0,0.0
465.15398207756175,466.3818141264085,462.85672257723115,465.371826171875,4586900,0.0,0.0,0.0
467.5898204541838,470.1544215288538,467.193748551773,470.0653076171875,4782500,0.0,0.0,0.0
471.0357240607136,471.96650968031526,470.05541056530757,470.7386474609375,3451300,0.0,0.0,0.0
468.9463798540973,471.1941113064114,468.85726594294994,470.7584533691406,3214900,0.0,0.0,0.0
470.92680383235404,473.4617004394531,470.2831831705677,473.4617004394531,3486000,0.0,0.0,0.0
474.98656510503935,475.6797135802152,472.9071498978601,474.0458679199219,3347200,0.0,0.0,0.0
475.6401168744241,475.7094377684605,473.04581112254505,474.0755920410156,3108400,0.0,0.0,0.0
474.28356517656704,476.74914081339233,473.78846772542295,476.3233642578125,3257700,0.0,0.0,0.0
478.6008239197702,482.4526967834027,478.0067009055872,482.12591552734375,4399500,0.0,0.0,0.0
482.2744142864988,483.7795298752692,481.0663752989411,481.20501708984375,3347400,0.0,0.0,0.0
